"","Year","Level_3","Buddhism","Christianity Catholic","Christianity Other Christians","Hinduism","Islam","No Religion","Other Religions","Sikhism","Taoism","Christianity","Chinese","Indians","Malays","Others","Condominiums and Other Apartments","HDB Dwellings 1 and 2 Room Flats","HDB Dwellings 3 Room Flats","HDB Dwellings 4 Room Flats","HDB Dwellings 5 Room and Executive Flats","HDB Dwellings Total","Landed Properties","pc20","pc80","pc50"
"1",2000,"ANG MO KIO",47.1146271671436,5.12371654603602,8.34876283453964,4.12186500589126,7.88554115468776,14.8251136172362,0.249789597710823,0.160242383437132,12.1696684059923,13.4724793805757,83.6298814176733,7.38565275640245,8.06381965742883,0.920646168495411,4.55242777664825,7.74448736668946,49.0933959299854,23.750993475408,9.21205848104541,89.8009352531283,5.0311442988374,33.6701643162117,83.7476664879951,61.9029813503872
"2",2000,"BEDOK",39.4585482426524,5.33406127130536,10.3118160615682,2.37537654028323,20.3597546082784,14.4433429593552,0.277286898553223,0.310810357791091,7.12948196677346,15.6458773328736,73.0598766883415,7.15551516129825,17.3889089690458,2.39569918131446,9.16707869522804,4.45659000708244,30.5079309930111,25.8549035853166,15.8766854195342,78.0337551614929,12.1804551467935,29.4771731722636,77.4284072534844,55.4596434727994
"3",2000,"BISHAN",39.4869583962061,8.89846949773658,14.7287490119997,4.66623553926852,6.46116260688367,18.1677085578789,0.275921534813537,0.456995042034921,6.85779981317813,23.6272185097363,84.8056105097028,8.02231755840576,5.69275568497566,1.47931624691578,5.06532018914803,1.47471347278993,9.95431594133205,39.7451310411157,30.5241644626112,84.2349923859902,10.559429350004,17.1373527290214,66.7187625230424,38.8307886511181
"4",2000,"BUKIT BATOK",41.3781751216551,3.65839857614634,9.58734992438349,5.18307424820732,17.5543461487022,14.7570498245903,0.296293248011852,0.37551054001502,7.21083116428843,13.2457485005298,73.8311631910173,8.32734537242485,17.0273919600768,0.814099476481132,7.71798196011365,0.372382975202052,31.7159959175792,38.7305878134223,20.2410834965382,91.0628085951507,0.772349874493145,24.1358287589993,80.0954403773481,53.9768984635754
"5",2000,"BUKIT MERAH",47.3167167329707,3.21425671835674,8.89827068279614,4.85751400503369,7.57976780060079,16.5129495818787,0.144515709994317,0.452220508240643,11.0229763741171,12.1125274011529,83.7555826501674,9.46709688718837,5.96964655004008,0.807673912604159,3.20595576211378,20.6665806007402,42.6650314140632,19.6144246492814,12.9873483088045,95.9549014545142,NA,39.1567411136931,85.1622342714519,63.4853472760134
"6",2000,"BUKIT PANJANG",46.1596364930337,3.65286179618427,7.71767990583856,3.19847808830373,16.8094599403279,12.7966496044672,0.216242848931103,0.317521145265924,9.13283880327375,11.3705417020228,76.9125612319929,5.93937385432741,16.360981368904,0.787083544775733,8.94883649841428,NA,10.6148026441481,46.2343815673837,33.2276183561958,90.0768025677276,0.93615070115777,22.8199763096557,81.5215314661266,54.3027778839173
"7",2000,"BUKIT TIMAH",27.0982335200345,10.6872037914692,28.3390779836277,2.25549332184403,2.07238259370961,25.5084015510556,0.562257647565705,0.3015941404567,3.17750969409737,39.0262817750969,90.492552629124,4.42177928418172,1.12410211760316,3.96156596909108,39.6324054246966,NA,2.70045205805377,5.46038543897216,6.3942422079467,17.9336188436831,42.3507018796098,13.672674280276,38.0442541042113,23.3943611705924
"8",2000,"CHANGI",21.6292134831461,7.4438202247191,8.42696629213483,10.6741573033708,24.438202247191,14.6067415730337,NA,5.19662921348315,7.4438202247191,15.8707865168539,47.1127406049496,26.8560953253895,21.5398716773602,4.49129239230064,31.0714285714286,NA,30.3571428571429,NA,NA,30.3571428571429,26.4285714285714,29.9703571428571,85.7142857142857,62.5428571428571
"9",2000,"CHOA CHU KANG",44.5611800912661,2.80165552371856,7.94381252833975,4.10986657404996,18.6371836801636,13.850057403066,0.249872169642943,0.251801684466441,7.59457034528668,10.7454680520583,74.0154084556459,6.69624583357698,18.6589965499094,0.629349160867786,0.285276559776005,0.562628770669343,3.59501294310317,51.1965766812827,44.3367319985208,99.690950393576,NA,17.1652253156532,82.1939880606477,49.3133815838132
"10",2000,"CLEMENTI",36.7642721154104,4.20588314160834,12.9702625157536,4.08387633067868,15.8099375217869,17.9215938648004,0.238650685115169,0.261443166277854,7.74139919019655,17.176145657362,76.4613423025347,7.80518367077755,14.3320363164721,1.40143771021566,7.65454219673894,3.26823149973123,47.357104461566,26.9915785701487,10.6575882458341,88.2745027772801,3.26464791256047,27.6218491309801,78.2440422863286,53.9225407633041
"11",2000,"DOWNTOWN CORE",56.9607077803799,4.13739266198283,5.04813947436898,2.73224043715847,4.50169138693729,17.096018735363,NA,NA,9.52380952380952,9.18553213635181,87.1589432654829,9.3980077955825,1.8189692507579,1.6240796881767,9.32678821879383,11.711079943899,50.2805049088359,25.7363253856942,0.631136044880785,88.35904628331,NA,39.6901122019635,86.5357643758766,65.1034361851332
"12",2000,"GEYLANG",46.159993180898,3.03130394016238,7.41044601189081,2.37816182581456,16.4191190572591,14.3861742706757,0.117203315788352,0.262109233490315,9.83548916402071,10.4417499520532,77.9493389847613,7.54869310727621,13.3994348572005,1.10253305076193,6.96071875090862,12.3397202919199,35.0681824789928,25.7610560288431,11.8599715058297,86.000058151368,5.94016224231675,37.7477800715262,85.2237373884221,63.6988631407554
